Membrane Potential (mV),pr2445:A23,pr2445:B24,pr2445:C17,pr2445:D20,pr2445:F24,pr2445:H2,pr2445:I11,pr2445:K18,pr2445:M20,pr2445:N15,pr2445:O2,pr2453:B6,pr2453:M13
Vrev,80.115889,72.523671,113.18584,76.301883,57.008064,97.566329,74.668477,132.76607,69.97296,58.595957,82.184769,51.773295,69.138624
Capacitance,16.601597,16.587719,15.361158,12.739594,12.154997,11.708863,14.710899,14.36918,35.529014,14.43714,17.554962,20.9996281,21.437775
